N,P,K,temperature,humidity,ph,rainfall,label
64.73973312,37.22131656,57.59355889,21.28476778,80.0425541,6.280922227,1043.774053,apple
48.86813885,43.82343467,51.72332513,15.68713467,71.39077225,5.981123609,1301.001659,apple
51.46380432,43.77397091,46.12047061,22.80662638,68.83397279,6.823940897,1194.840292,apple
57.76189951,41.73022104,74.36826359,19.90472897,67.73663056,6.556955146,1169.336111,apple
60.12289289,36.73790853,56.40160213,15.79480328,60.5517203,5.956802338,1291.977276,apple
73.37049364,38.5879579,56.87234853,19.49298934,60.32987486,6.585343245,1363.781831,apple
71.10316296,40.07185033,47.72750512,14.37453193,75.56753116,6.383995638,1233.09306,apple
50.43756689,37.90511005,49.83989839,15.73775603,70.67018149,6.174708916,1375.606966,apple
53.67067407,48.16191032,63.28878601,18.52370235,81.97716292,6.702522288,946.8033362,apple
59.96442353,31.70615587,48.73628516,20.79684623,83.12736611,6.48833717,1495.133439,apple
55.82021961,44.06224279,64.71834624,16.40634413,83.98247637,6.137406355,1354.913751,apple
48.24755381,40.72067601,51.20434741,17.35897188,76.25702842,6.626732617,1301.764291,apple
63.73193632,40.40390363,65.55948103,19.30101022,67.49004027,5.991149379,1190.349182,apple
65.4565649,35.66923827,62.97759821,17.39572827,89.13174735,6.486814949,1313.58345,apple
60.18878917,35.1487807,66.25522537,16.53787327,61.11022904,6.031613359,1283.505557,apple
53.05010084,41.38963415,58.25981831,18.38245671,69.45871013,6.982325961,1232.759129,apple
66.8789636,27.57219813,61.78033511,20.52062059,66.98878424,6.737799863,1207.836202,apple
68.154473,31.58284105,56.60094948,10.96026719,78.8251639,6.35149916,1442.230746,apple
70.53048097,32.38569986,57.19875455,17.20161027,70.63866473,6.164628036,1024.848007,apple
47.10881133,28.96302084,52.8628128,19.93409917,88.49883552,6.828107466,1164.335193,apple
59.67024194,38.37409746,52.51518652,19.08349428,89.73505878,6.889034305,1470.18476,apple
49.53359775,35.36981482,56.54977566,16.30304754,65.59314786,6.287537624,1398.169422,apple
